Longitude,Latitude,Download,Upload,Time
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,0,0,1.64473E+12
121.47086,-30.78252,525,33,1.64473E+12
121.47086,-30.78252,8038,225,1.64473E+12
121.47087,-30.78252,9865,146,1.64473E+12
121.47087,-30.7825175,13924,242,1.64473E+12
121.47087,-30.78251,22119,358,1.64473E+12
121.47087,-30.78251,11325,174,1.64473E+12
121.47087,-30.78251,5379,81,1.64473E+12
121.47087,-30.78251,5211,89,1.64473E+12
121.47087,-30.78251,20046,299,1.64473E+12
121.47087,-30.78251,20758,279,1.64473E+12
121.47087,-30.78251,23679,340,1.64473E+12
121.47087,-30.78251,18200,404,1.64473E+12
121.47087,-30.78251,24,1368,1.64473E+12
121.47087,-30.78251,115,5814,1.64473E+12
121.47087,-30.78251,91,5353,1.64473E+12
121.47087,-30.78251,95,5531,1.64473E+12
121.47087,-30.78251,83,4902,1.64473E+12
121.47087,-30.78251,95,5586,1.64473E+12
121.47087,-30.78251,44,3419,1.64473E+12
121.47087,-30.78251,72,3363,1.64473E+12
121.47087,-30.78251,52,2292,1.64473E+12
121.47087,-30.78251,52,2654,1.64473E+12
121.47087,-30.78251,184,7961,1.64473E+12
121.47087,-30.78251,52,2654,1.64473E+12
121.47087,-30.78251,67,2654,1.64473E+12
121.47087,-30.78251,84,3,1.64473E+12
121.47087,-30.78251,0,0,1.64473E+12
121.47087,-30.78251,0,0,1.64473E+12
121.47087,-30.78251,0,0,1.64473E+12
121.47087,-30.78251,0,0,1.64473E+12
121.47087,-30.78251,0,0,1.64473E+12
121.47087,-30.78251,2,2,1.64473E+12
121.47087,-30.78251,0,0,1.64473E+12
121.47087,-30.78251,0,0,1.64473E+12
121.47087,-30.78251,0,0,1.64473E+12
121.47087,-30.78251,0,0,1.64473E+12
121.47087,-30.78251,0,0,1.64473E+12
121.47087,-30.78251,0,0,1.64473E+12
